t,X1-x,X1-y,X1-z,X1_t-x,X1_t-y,X1_t-z,X3-x,X3-y,X3-z,X3_t-x,X3_t-y,X3_t-z
0,-0.9258298,1,-0.4944682,2.145076,0,0.3217615,-1,1.707107,0.2071068,2,0,0,
0.003333333,-0.9186788,1,-0.493392,2.145495,0,0.3239734,-0.9933333,1.707107,0.2071068,2,-2.014131E-07,-7.232666E-08,
0.006666667,-0.9115265,1,-0.4923084,2.145914,0,0.3261932,-0.9866667,1.707107,0.2071069,2,-9.03965E-08,-2.501911E-07,
0.01,-0.9043728,1,-0.4912173,2.146331,0,0.3284208,-0.98,1.707107,0.2071068,2,-1.401058E-07,-5.676702E-08,
0.01333333,-0.8972176,1,-0.4901189,2.146747,0,0.3306563,-0.9733333,1.707107,0.2071068,2,-3.466848E-07,3.486639E-08,
0.01666667,-0.890061,1,-0.4890129,2.147162,0,0.3328996,-0.9666666,1.707107,0.2071068,2,-2.481975E-07,-1.00059E-07,
0.02,-0.8829032,1,-0.4878995,2.147576,0,0.3351507,-0.96,1.707107,0.2071068,2,1.548324E-07,-1.078588E-07,
0.02333333,-0.875744,1,-0.4867786,2.147989,0,0.3374097,-0.9533334,1.707107,0.2071069,2,-4.563481E-08,2.665911E-08,
0.02666667,-0.8685833,1,-0.4856501,2.148401,0,0.3396765,-0.9466667,1.707107,0.2071068,2,4.377216E-08,-6.91507E-08,
0.03,-0.8614212,1,-0.4845141,2.148812,0,0.3419511,-0.9399999,1.707107,0.2071068,2,-5.45755E-07,-4.528556E-08,
0.03333334,-0.8542578,1,-0.4833705,2.149221,0,0.3442336,-0.9333333,1.707107,0.2071068,2,2.291054E-07,1.699664E-08,
0.03666667,-0.8470931,1,-0.4822192,2.14963,0,0.3465239,-0.9266667,1.707107,0.2071068,2,-2.277084E-07,-5.494803E-08,
0.04,-0.839927,1,-0.4810603,2.150037,0,0.3488221,-0.92,1.707107,0.2071068,2,-3.045425E-07,-8.870848E-08,
0.04333333,-0.8327595,1,-0.4798937,2.150444,0,0.351128,-0.9133333,1.707107,0.2071068,2,-6.053597E-08,4.656613E-09,
0.04666667,-0.8255907,1,-0.4787194,2.150849,0,0.3534418,-0.9066668,1.707107,0.2071068,2,-3.72529E-09,-1.317821E-07,
0.05,-0.8184205,1,-0.4775374,2.151253,0,0.3557635,-0.9000001,1.707107,0.2071068,2,-7.357448E-08,-1.261942E-07,
0.05333333,-0.811249,1,-0.4763477,2.151656,0,0.3580929,-0.8933333,1.707107,0.2071068,2,1.15484E-07,1.406297E-07,
0.05666667,-0.8040761,1,-0.4751501,2.152058,0,0.3604302,-0.8866667,1.707107,0.2071068,2,2.086163E-07,-7.543713E-08,
0.06,-0.7969019,1,-0.4739448,2.152458,0,0.3627753,-0.88,1.707107,0.2071068,2,8.195639E-08,7.21775E-08,
0.06333333,-0.7897265,1,-0.4727316,2.152858,0,0.3651282,-0.8733334,1.707107,0.2071068,2,-1.974404E-07,-1.136214E-07,
0.06666667,-0.7825496,1,-0.4715106,2.153255,0,0.367489,-0.8666667,1.707107,0.2071068,2,3.20375E-07,9.778886E-08,
0.07,-0.7753714,1,-0.4702816,2.153653,0,0.3698575,-0.86,1.707107,0.2071068,2,-5.159527E-07,-7.264316E-08,
0.07333333,-0.7681919,1,-0.4690449,2.154048,0,0.3722339,-0.8533333,1.707107,0.2071069,2,1.024455E-07,1.378357E-07,
0.07666667,-0.7610111,1,-0.4678001,2.154443,0,0.3746182,-0.8466667,1.707107,0.2071068,2,1.490116E-07,-1.043081E-07,
0.08,-0.753829,1,-0.4665474,2.154836,0,0.3770102,-0.84,1.707107,0.2071068,2,-2.04891E-07,-1.164153E-07,
0.08333334,-0.7466456,1,-0.4652867,2.155228,0,0.37941,-0.8333333,1.707107,0.2071068,2,7.450581E-09,1.639128E-07,
0.08666667,-0.7394608,1,-0.464018,2.155619,0,0.3818176,-0.8266667,1.707107,0.2071069,2,-3.72529E-09,4.842877E-08,
0.09,-0.7322747,1,-0.4627412,2.156009,0,0.3842332,-0.8199999,1.707107,0.2071068,2,1.303852E-07,-1.117587E-08,
0.09333333,-0.7250874,1,-0.4614564,2.156397,0,0.3866564,-0.8133334,1.707107,0.2071068,2,-1.937151E-07,6.891787E-08,
0.09666666,-0.7178987,1,-0.4601635,2.156784,0,0.3890875,-0.8066667,1.707107,0.2071068,2,2.160668E-07,8.195639E-08,
0.1,-0.7107087,1,-0.4588625,2.15717,0,0.3915264,-0.8,1.707107,0.2071068,2,-1.15484E-07,-5.7742E-08,
0.1033333,-0.7035176,1,-0.4575533,2.157554,0,0.3939731,-0.7933334,1.707107,0.2071069,2,-2.235174E-08,-8.940697E-08,
0.1066667,-0.6963251,1,-0.456236,2.157938,0,0.3964275,-0.7866667,1.707107,0.2071069,2,-1.490116E-08,-6.332994E-08,
0.11,-0.6891314,1,-0.4549105,2.15832,0,0.3988898,-0.78,1.707107,0.2071068,2,-1.117587E-07,-4.656613E-08,
0.1133333,-0.6819363,1,-0.4535767,2.1587,0,0.4013599,-0.7733333,1.707107,0.2071068,2,-1.788139E-07,-3.352761E-08,
0.1166667,-0.67474,1,-0.4522347,2.15908,0,0.4038378,-0.7666667,1.707107,0.2071068,2,-2.905726E-07,-1.210719E-07,
0.12,-0.6675425,1,-0.4508845,2.159457,0,0.4063235,-0.76,1.707107,0.2071069,2,-2.980232E-08,-9.872019E-08,
0.1233333,-0.6603436,1,-0.4495259,2.159834,0,0.4088169,-0.7533333,1.707107,0.2071068,2,-2.980232E-08,-1.862645E-08,
0.1266667,-0.6531436,1,-0.448159,2.160209,0,0.4113182,-0.7466667,1.707107,0.2071068,2,-7.450581E-08,-6.705523E-08,
0.13,-0.6459423,1,-0.4467838,2.160583,0,0.4138272,-0.74,1.707107,0.2071068,2,-4.470348E-08,2.980232E-08,
0.1333333,-0.6387397,1,-0.4454001,2.160955,0,0.4163441,-0.7333333,1.707107,0.2071068,2,2.086163E-07,-5.587935E-08,
0.1366667,-0.6315359,1,-0.4440081,2.161326,0,0.4188687,-0.7266666,1.707107,0.2071069,2,2.831221E-07,1.41561E-07,
0.14,-0.6243308,1,-0.4426077,2.161696,0,0.421401,-0.72,1.707107,0.2071068,2,-1.564622E-07,-8.195639E-08,
0.1433333,-0.6171246,1,-0.4411988,2.162064,0,0.4239411,-0.7133333,1.707107,0.2071068,2,-3.948808E-07,-1.080334E-07,
0.1466667,-0.6099171,1,-0.4397814,2.162431,0,0.4264891,-0.7066667,1.707107,0.2071068,2,1.713634E-07,-4.470348E-08,
0.15,-0.6027084,1,-0.4383555,2.162796,0,0.4290447,-0.7,1.707107,0.2071069,2,-1.266599E-07,-4.842877E-08,
0.1533333,-0.5954984,1,-0.4369211,2.16316,0,0.4316082,-0.6933333,1.707107,0.2071068,2,0,5.960464E-08,
0.1566667,-0.5882873,1,-0.4354781,2.163523,0,0.4341794,-0.6866667,1.707107,0.2071068,2,-2.682209E-07,1.117587E-08,
0.16,-0.581075,1,-0.4340265,2.163884,0,0.4367583,-0.6800001,1.707107,0.2071068,2,1.490116E-08,-4.842877E-08,
0.1633333,-0.5738614,1,-0.4325664,2.164243,0,0.4393451,-0.6733333,1.707107,0.2071068,2,2.682209E-07,6.332994E-08,
0.1666667,-0.5666466,1,-0.4310976,2.164602,0,0.4419395,-0.6666666,1.707107,0.2071068,2,2.980232E-08,5.960464E-08,
0.17,-0.5594308,1,-0.4296201,2.164958,0,0.4445417,-0.66,1.707107,0.2071068,2,-4.470348E-08,4.470349E-08,
0.1733333,-0.5522135,1,-0.428134,2.165313,0,0.4471517,-0.6533333,1.707107,0.2071068,2,2.235174E-07,7.450581E-08,
0.1766667,-0.5449953,1,-0.4266391,2.165667,0,0.4497693,-0.6466667,1.707107,0.2071068,2,-2.682209E-07,-1.341105E-07,
0.18,-0.5377758,1,-0.4251355,2.166019,0,0.4523948,-0.64,1.707107,0.2071068,2,-7.450581E-08,-4.470348E-08,
0.1833333,-0.5305552,1,-0.4236231,2.16637,0,0.4550279,-0.6333333,1.707107,0.2071068,2,1.788139E-07,-2.980232E-08,
0.1866667,-0.5233333,1,-0.4221019,2.166719,0,0.4576688,-0.6266666,1.707107,0.2071068,2,-1.788139E-07,-2.235174E-08,
0.19,-0.5161104,1,-0.420572,2.167066,0,0.4603174,-0.62,1.707107,0.2071069,2,1.341105E-07,3.72529E-08,
0.1933333,-0.5088863,1,-0.4190332,2.167412,0,0.4629737,-0.6133334,1.707107,0.2071068,2,1.490116E-07,-2.980232E-08,
0.1966667,-0.5016611,1,-0.4174855,2.167757,0,0.4656378,-0.6066667,1.707107,0.2071069,2,4.470348E-08,2.980232E-08,
0.2,-0.4944345,1,-0.4159289,2.168099,0,0.4683096,-0.6,1.707107,0.2071068,2,1.490116E-08,6.705523E-08,
0.2033333,-0.4872069,1,-0.4143634,2.168441,0,0.470989,-0.5933333,1.707107,0.2071068,2,1.639128E-07,-2.235174E-08,
0.2066667,-0.4799783,1,-0.412789,2.168781,0,0.4736761,-0.5866666,1.707107,0.2071069,2,2.980232E-08,5.960464E-08,
0.21,-0.4727485,1,-0.4112056,2.169118,0,0.476371,-0.58,1.707107,0.2071069,2,1.043081E-07,8.195639E-08,
0.2133333,-0.4655174,1,-0.4096132,2.169455,0,0.4790735,-0.5733333,1.707107,0.2071068,2,1.788139E-07,4.470348E-08,
0.2166667,-0.4582854,1,-0.4080117,2.16979,0,0.4817838,-0.5666667,1.707107,0.2071068,2,-1.788139E-07,5.215406E-08,
